* Player 1 (nb: FFFFFFFF(-1)), weighing 0 bytes, "" () !
It is now cycle 649 || CTD: 1486
It is now cycle 650 || CTD: 1486
It is now cycle 651 || CTD: 1486
It is now cycle 652 || CTD: 1486
It is now cycle 653 || CTD: 1486
It is now cycle 654 || CTD: 1486
It is now cycle 655 || CTD: 1486
It is now cycle 656 || CTD: 1486
It is now cycle 657 || CTD: 1486
It is now cycle 658 || CTD: 1486
It is now cycle 659 || CTD: 1486
It is now cycle 660 || CTD: 1486
It is now cycle 661 || CTD: 1486
It is now cycle 662 || CTD: 1486
It is now cycle 663 || CTD: 1486
It is now cycle 664 || CTD: 1486
It is now cycle 665 || CTD: 1486
It is now cycle 666 || CTD: 1486
It is now cycle 667 || CTD: 1486
It is now cycle 668 || CTD: 1486
It is now cycle 669 || CTD: 1486
It is now cycle 670 || CTD: 1486
It is now cycle 671 || CTD: 1486
It is now cycle 672 || CTD: 1486
It is now cycle 673 || CTD: 1486
It is now cycle 674 || CTD: 1486
It is now cycle 675 || CTD: 1486
It is now cycle 676 || CTD: 1486
It is now cycle 677 || CTD: 1486
It is now cycle 678 || CTD: 1486
It is now cycle 679 || CTD: 1486
It is now cycle 680 || CTD: 1486
It is now cycle 681 || CTD: 1486
It is now cycle 682 || CTD: 1486
It is now cycle 683 || CTD: 1486
It is now cycle 684 || CTD: 1486
It is now cycle 685 || CTD: 1486
It is now cycle 686 || CTD: 1486
It is now cycle 687 || CTD: 1486
It is now cycle 688 || CTD: 1486
It is now cycle 689 || CTD: 1486
It is now cycle 690 || CTD: 1486
It is now cycle 691 || CTD: 1486
It is now cycle 692 || CTD: 1486
It is now cycle 693 || CTD: 1486
It is now cycle 694 || CTD: 1486
It is now cycle 695 || CTD: 1486
It is now cycle 696 || CTD: 1486
It is now cycle 697 || CTD: 1486
It is now cycle 698 || CTD: 1486
It is now cycle 699 || CTD: 1486
It is now cycle 700 || CTD: 1486
It is now cycle 701 || CTD: 1486
It is now cycle 702 || CTD: 1486
It is now cycle 703 || CTD: 1486
It is now cycle 704 || CTD: 1486
It is now cycle 705 || CTD: 1486
It is now cycle 706 || CTD: 1486
It is now cycle 707 || CTD: 1486
It is now cycle 708 || CTD: 1486
It is now cycle 709 || CTD: 1486
It is now cycle 710 || CTD: 1486
It is now cycle 711 || CTD: 1486
It is now cycle 712 || CTD: 1486
It is now cycle 713 || CTD: 1486
It is now cycle 714 || CTD: 1486
It is now cycle 715 || CTD: 1486
It is now cycle 716 || CTD: 1486
It is now cycle 717 || CTD: 1486
It is now cycle 718 || CTD: 1486
It is now cycle 719 || CTD: 1486
It is now cycle 720 || CTD: 1486
It is now cycle 721 || CTD: 1486
It is now cycle 722 || CTD: 1486
It is now cycle 723 || CTD: 1486
It is now cycle 724 || CTD: 1486
It is now cycle 725 || CTD: 1486
It is now cycle 726 || CTD: 1486
It is now cycle 727 || CTD: 1486
It is now cycle 728 || CTD: 1486
It is now cycle 729 || CTD: 1486
It is now cycle 730 || CTD: 1486
It is now cycle 731 || CTD: 1486
It is now cycle 732 || CTD: 1486
It is now cycle 733 || CTD: 1486
It is now cycle 734 || CTD: 1486
It is now cycle 735 || CTD: 1486
It is now cycle 736 || CTD: 1486
It is now cycle 737 || CTD: 1486
It is now cycle 738 || CTD: 1486
It is now cycle 739 || CTD: 1486
It is now cycle 740 || CTD: 1486
It is now cycle 741 || CTD: 1486
It is now cycle 742 || CTD: 1486
It is now cycle 743 || CTD: 1486
It is now cycle 744 || CTD: 1486
It is now cycle 745 || CTD: 1486
It is now cycle 746 || CTD: 1486
It is now cycle 747 || CTD: 1486
It is now cycle 748 || CTD: 1486
It is now cycle 749 || CTD: 1486
It is now cycle 750 || CTD: 1486
It is now cycle 751 || CTD: 1486
It is now cycle 752 || CTD: 1486
It is now cycle 753 || CTD: 1486
It is now cycle 754 || CTD: 1486
It is now cycle 755 || CTD: 1486
It is now cycle 756 || CTD: 1486
It is now cycle 757 || CTD: 1486
It is now cycle 758 || CTD: 1486
It is now cycle 759 || CTD: 1486
It is now cycle 760 || CTD: 1486
It is now cycle 761 || CTD: 1486
It is now cycle 762 || CTD: 1486
It is now cycle 763 || CTD: 1486
It is now cycle 764 || CTD: 1486
It is now cycle 765 || CTD: 1486
It is now cycle 766 || CTD: 1486
It is now cycle 767 || CTD: 1486
It is now cycle 768 || CTD: 1486
